# zspec, RA, DEC, mu, mg, mr, mi, mz, logExp, logDev, pz_zebra, pz_NN, pz_NN_Err
1.200000000000000025e-02 3.514554999999999723e+02 2.039400000000000102e-01 2.014999999999999858e+01 1.915200000000000102e+01 1.895599999999999952e+01 1.888899999999999935e+01 1.896999999999999886e+01 3.610000000000000000e+02 2.166000000000000000e+03 4.750000000000000056e-02 4.730999999999999789e-02 4.322999999999999760e-02
2.134000000000000133e-02 3.806819000000000131e+01 4.526999999999999913e-01 2.187099999999999866e+01 2.036199999999999832e+01 2.002700000000000102e+01 1.990500000000000114e+01 1.954500000000000171e+01 2.000000000000000000e+00 2.610000000000000000e+02 4.250000000000000305e-02 1.618999999999999884e-01 9.460999999999999965e-02
2.418000000000000010e-02 3.762489000000000061e+01 7.903700000000000170e-01 2.111599999999999966e+01 1.953200000000000003e+01 1.897299999999999898e+01 1.863700000000000045e+01 1.847899999999999920e+01 3.000000000000000000e+00 3.380000000000000000e+02 1.074999999999999983e-01 1.325800000000000034e-01 4.130999999999999950e-02
2.500000000000000139e-02 3.756938000000000244e+01 8.133099999999999774e-01 1.999800000000000111e+01 1.894200000000000017e+01 1.862900000000000134e+01 1.854899999999999949e+01 1.848600000000000065e+01 2.250000000000000000e+02 3.176000000000000000e+03 2.500000000000000139e-02 3.948999999999999733e-02 3.388000000000000039e-02
2.775000000000000036e-02 3.531444999999999936e+02 -4.680000000000000132e-03 2.250499999999999901e+01 2.084100000000000108e+01 2.011100000000000065e+01 1.986599999999999966e+01 1.966799999999999926e+01 0.000000000000000000e+00 2.780000000000000000e+02 1.849999999999999978e-01 1.741800000000000015e-01 4.900000000000000189e-02
2.883000000000000146e-02 3.520262099999999919e+02 4.637000000000000149e-02 2.262399999999999878e+01 2.262900000000000134e+01 2.105199999999999960e+01 2.035699999999999932e+01 2.030499999999999972e+01 5.500000000000000000e+01 1.560000000000000000e+02 5.875000000000000222e-01 4.389000000000000123e-01 7.062000000000000222e-02
2.935000000000000109e-02 3.663562000000000296e+01 4.489400000000000057e-01 2.235699999999999932e+01 2.153300000000000125e+01 2.081700000000000017e+01 2.064999999999999858e+01 2.039199999999999946e+01 2.000000000000000000e+01 1.400000000000000000e+01 2.550000000000000044e-01 3.123900000000000010e-01 1.012900000000000050e-01
2.982999999999999888e-02 3.523017300000000205e+02 2.175300000000000011e-01 2.265700000000000003e+01 2.104100000000000037e+01 2.061400000000000077e+01 2.055000000000000071e+01 2.017000000000000171e+01 1.700000000000000000e+01 1.050000000000000000e+02 2.500000000000000139e-02 3.792300000000000115e-01 1.483599999999999919e-01
3.099999999999999978e-02 3.523073800000000233e+02 6.822000000000000286e-02 1.992800000000000082e+01 1.904400000000000048e+01 1.885200000000000031e+01 1.870100000000000051e+01 1.868400000000000105e+01 3.700000000000000000e+02 8.888000000000000000e+03 5.000000000000000278e-02 4.266999999999999960e-02 3.051999999999999852e-02
3.171000000000000207e-02 3.523130499999999756e+02 5.856000000000000094e-02 -8.000000000000000167e-02 2.257400000000000162e+01 2.178600000000000136e+01 2.175499999999999901e+01 2.265500000000000114e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.774999999999999911e-01 1.352899999999999936e-01 9.654000000000000081e-02
